Model,Time1,Time2,Status
bayesglm,1.53,0.0255,success
glm,0.897,0.01495,success
blackboost,80.379,1.33965,success
ctree,3.952,0.0658666666666666,success
ctree2,7.77700000000004,0.129616666666667,success
BstLm,6.60900000000015,0.110150000000003,success
bstSm,277.764,4.6294,success
bstTree,102.8,1.71333333333333,success
C5.0,85.0230000000001,1.41705,success
C5.0Cost,155.061,2.58435,success
C5.0Rules,5.29999999999995,0.0883333333333326,success
C5.0Tree,4.66000000000008,0.077666666666668,success
CSimca,2.42799999999988,0.0404666666666647,success
Linda,25.6800000000001,0.428000000000001,success
QdaCov,16.9690000000001,0.282816666666667,success
rda,22.9100000000001,0.381833333333335,success
dnn,224.168,3.73613333333333,success
dwdLinear,1.89899999999989,0.0316499999999981,success
dwdPoly,1897.799,31.6299833333333,success
dwdRadial,232.374,3.8729,success
gaussprLinear,8174.13,136.2355,success
bayesglm,1.541,0.0256833333333333,success
glm,0.766,0.0127666666666667,success
blackboost,82.912,1.38186666666667,success
ctree,4.09500000000003,0.0682500000000004,success
ctree2,8.19799999999987,0.136633333333331,success
BstLm,6.81700000000001,0.113616666666667,success
bstSm,282.905,4.71508333333334,success
bstTree,103.949,1.73248333333333,success
C5.0,86.403,1.44005,success
C5.0Cost,158.571,2.64285,success
C5.0Rules,4.86700000000019,0.0811166666666698,success
C5.0Tree,5.22399999999993,0.0870666666666655,success
CSimca,1.86300000000006,0.0310500000000009,success
Linda,25.998,0.433300000000001,success
QdaCov,16.9850000000001,0.283083333333335,success
rda,23.2449999999999,0.387416666666665,success
dnn,229.618,3.82696666666667,success
dwdLinear,2.02799999999979,0.0337999999999965,success
dwdPoly,1924.892,32.0815333333333,success
dwdRadial,236.756,3.94593333333334,success
gaussprLinear,6259.169,104.319483333333,success
bayesglm,2.072,0.0345333333333333,success
glm,0.809,0.0134833333333333,success
blackboost,84.523,1.40871666666667,success
ctree,3.97299999999996,0.0662166666666659,success
ctree2,7.98799999999983,0.13313333333333,success
BstLm,6.96299999999997,0.116049999999999,success
bstSm,261.042,4.3507,success
bstTree,102.009,1.70015,success
C5.0,72.3789999999999,1.20631666666667,success
C5.0Cost,136.49,2.27483333333333,success
C5.0Rules,5.28199999999993,0.0880333333333321,success
C5.0Tree,4.49299999999994,0.0748833333333323,success
CSimca,1.90700000000015,0.0317833333333359,success
Linda,0.839000000000169,0.0139833333333362,success
dnn,229.882,3.83136666666667,success
dwdLinear,1.99099999999999,0.0331833333333331,success
dwdPoly,2201.847,36.69745,success
dwdRadial,246.309999999999,4.10516666666666,success
