Model,Time1,Time2,Status
bayesglm,1.413,0.02355,success
glm,0.429,0.00715,success
blackboost,54.305,0.905083333333333,success
cforest,47.965,0.799416666666667,success
ctree,1.989,0.0331500000000001,success
ctree2,4.532,0.0755333333333333,success
BstLm,4.17999999999999,0.0696666666666665,success
bstSm,81.605,1.36008333333333,success
bstTree,72.995,1.21658333333333,success
C5.0,10.178,0.169633333333333,success
C5.0Cost,19.014,0.3169,success
C5.0Rules,1.03100000000001,0.0171833333333334,success
C5.0Tree,1.00200000000001,0.0167000000000002,success
CSimca,0.819999999999993,0.0136666666666666,success
Linda,13.795,0.229916666666667,success
QdaCov,8.27300000000002,0.137883333333334,success
rda,5.83799999999997,0.0972999999999994,success
dnn,73.0189999999999,1.21698333333333,success
dwdLinear,1.40000000000003,0.0233333333333339,success
dwdPoly,37.076,0.617933333333334,success
dwdRadial,5.39400000000001,0.0899000000000001,success
gaussprLinear,46.2070000000001,0.770116666666668,success
gaussprPoly,38.347,0.639116666666666,success
gaussprRadial,1.32500000000005,0.0220833333333341,success
lssvmRadial,64.2619999999999,1.07103333333333,success
svmLinear,1.69600000000003,0.0282666666666671,success
svmPoly,21.0410000000001,0.350683333333334,success
svmRadial,2.50999999999999,0.0418333333333332,success
svmRadialCost,2.49699999999996,0.041616666666666,success
svmRadialSigma,7.62799999999993,0.127133333333332,success
svmRadialWeights,6.26199999999994,0.104366666666666,success
evtree,134.919,2.24865,success
FRBCS.CHI,904.429,15.0738166666667,success
FRBCS.W,899.703,14.99505,success
gamboost,8.18500000000131,0.136416666666689,success
gamLoess,21.2220000000016,0.353700000000026,success
gamSpline,34.5949999999993,0.576583333333322,success
gbm,3.02800000000025,0.0504666666666708,success
glmnet,7.67000000000007,0.127833333333335,success
glmboost,1.25200000000041,0.0208666666666735,success
glmStepAIC,7.31500000000051,0.121916666666675,success
lda,0.29700000000048,0.004950000000008,success
lda2,0.313000000000102,0.00521666666666836,success
qda,0.281999999999243,0.00469999999998739,success
hda,84.637999999999,1.41063333333332,success
hdda,0.96900000000096,0.016150000000016,success
J48,11.4229999999989,0.190383333333314,success
JRip,32.4759999999987,0.541266666666646,success
LMT,6.02400000000125,0.100400000000021,success
OneR,1.1260000000002,0.0187666666666701,success
PART,7.56099999999969,0.126016666666662,success
kernelpls,0.569000000001324,0.0094833333333554,success
simpls,0.511999999998807,0.00853333333331345,success
widekernelpls,2.61300000000119,0.0435500000000199,success
kknn,4.70199999999932,0.0783666666666553,success
knn,0.635000000000218,0.010583333333337,success
loclda,15.5780000000013,0.259633333333356,success
stepLDA,21.902,0.365033333333334,success
stepQDA,20.0380000000005,0.333966666666674,success
LogitBoost,1.13700000000063,0.0189500000000104,success
lvq,1.49499999999898,0.0249166666666497,success
Mlda,0.529000000000451,0.00881666666667419,success
RFlda,9.09499999999935,0.151583333333322,success
mlp,6.0010000000002,0.10001666666667,success
mlpML,6.01599999999962,0.10026666666666,success
mlpWeightDecay,18.5750000000007,0.309583333333345,success
mlpWeightDecayML,18.6610000000001,0.311016666666668,success
monmlp,43.7799999999988,0.729666666666647,success
msaenet,248.382,4.13969999999999,success
naive_bayes,1.15699999999924,0.0192833333333207,success
ordinalNet,828.297,13.80495,success
parRF,9.71800000000076,0.161966666666679,success
ranger,8.82899999999972,0.147149999999995,success
svmLinear2,1.76399999999921,0.0293999999999869,success
svmLinearWeights,5.28600000000006,0.088100000000001,success
ownn,9.86599999999999,0.164433333333333,success
snn,13.3810000000012,0.223016666666687,success
pam,0.495999999999185,0.00826666666665308,success
partDSA,46.3060000000005,0.771766666666675,success
pda,0.790999999999258,0.013183333333321,success
pda2,0.816000000000713,0.0136000000000119,success
plr,7.98599999999897,0.133099999999983,success
plsRglm,17.5160000000014,0.291933333333357,success
PRIM,715.84,11.9306666666667,success
randomGLM,443.225999999999,7.38709999999998,success
regLogistic,2.80699999999888,0.0467833333333147,success
svmLinear3,1.63299999999981,0.0272166666666635,success
svmLinearWeights2,3.5630000000001,0.059383333333335,success
rf,1.62400000000162,0.0270666666666936,success
rFerns,7.10399999999936,0.118399999999989,success
rfRules,30.5500000000011,0.509166666666685,success
RRF,10.0789999999997,0.167983333333329,success
rmda,5.46299999999974,0.0910499999999956,success
rocc,3.42699999999968,0.0571166666666613,success
rotationForest,6.15500000000065,0.102583333333344,success
rotationForestCp,9.54999999999927,0.159166666666655,success
rpart,2.11399999999958,0.0352333333333263,success
rpart1SE,2.04199999999946,0.0340333333333244,success
rpart2,2.21199999999953,0.0368666666666589,success
rpartCost,3.65200000000004,0.0608666666666674,success
rpartScore,7.5059999999994,0.12509999999999,success
RRFglobal,5.84699999999975,0.0974499999999959,success
RSimca,3.30400000000009,0.0550666666666681,success
sda,3.2450000000008,0.0540833333333467,success
sdwd,3.82700000000114,0.0637833333333522,success
slda,1.90599999999904,0.0317666666666507,success
treebag,2.98800000000119,0.0498000000000199,success
spls,5.22899999999936,0.0871499999999893,success
vglmAdjCat,2.7390000000014,0.0456500000000233,success
vglmContRatio,3.73800000000119,0.0623000000000199,success
vglmCumulative,3.75200000000041,0.0625333333333401,success
wsrf,2.90500000000065,0.0484166666666776,success
xyf,3.68599999999969,0.0614333333333282,success
