Model,min,max,median,mean,sd,Model,min,max,median,mean,sd,Model,min,max,median,mean,sd
pcaNNet,0.016,0.026,0.023,0.023,0.002,kknn,0.002,0.003,0.003,0.003,0,pcaNNet,0.263,0.47,0.362,0.36,0.057
randomGLM,0.017,0.027,0.024,0.024,0.002,rlm,0.002,0.003,0.003,0.003,0,cubist,0.218,0.487,0.371,0.365,0.064
cubist,0.017,0.027,0.023,0.023,0.002,qrnn,0.002,0.003,0.003,0.003,0,randomGLM,0.19,0.369,0.306,0.299,0.051
xgbTree,0.019,0.027,0.025,0.025,0.002,knn,0.003,0.003,0.003,0.003,0,gamboost,0.189,0.334,0.264,0.261,0.036
xgbLinear,0.02,0.028,0.026,0.025,0.002,avNNet,0.002,0.004,0.003,0.003,0,xgbTree,0.183,0.36,0.253,0.259,0.048
gamboost,0.018,0.029,0.025,0.025,0.002,svmLinear,0.003,0.004,0.004,0.004,0,xgbLinear,0.182,0.38,0.254,0.267,0.057
knn,0.019,0.029,0.025,0.025,0.002,cubist,0.003,0.004,0.003,0.003,0,knn,0.129,0.349,0.247,0.249,0.058
M5,0.02,0.029,0.025,0.026,0.002,M5,0.003,0.005,0.004,0.004,0,kknn,0.119,0.426,0.288,0.275,0.076
avNNet,0.016,0.03,0.024,0.024,0.003,partDSA,0.004,0.005,0.005,0.005,0,M5,0.118,0.351,0.239,0.237,0.055
partDSA,0.02,0.031,0.027,0.027,0.002,rpart2,0.004,0.005,0.005,0.005,0,lars2,0.094,0.14,0.119,0.118,0.014
rpart2,0.02,0.031,0.027,0.027,0.002,rpart,0.004,0.005,0.005,0.005,0,lars,0.094,0.138,0.119,0.118,0.014
leapSeq,0.02,0.031,0.027,0.027,0.002,xgbTree,0.004,0.005,0.004,0.004,0,rlm,0.091,0.145,0.118,0.119,0.015
plsRglm,0.02,0.031,0.027,0.027,0.002,rpart1SE,0.004,0.005,0.004,0.004,0,penalized,0.087,0.128,0.111,0.11,0.012
glmboost,0.02,0.031,0.027,0.027,0.002,xgbLinear,0.004,0.005,0.004,0.004,0,glmboost,0.087,0.132,0.111,0.11,0.013
lars,0.02,0.031,0.027,0.027,0.002,randomGLM,0.004,0.006,0.005,0.005,0,plsRglm,0.085,0.13,0.112,0.111,0.013
lars2,0.02,0.031,0.027,0.027,0.002,gamboost,0.005,0.006,0.005,0.005,0,leapSeq,0.082,0.124,0.104,0.102,0.013
penalized,0.02,0.031,0.027,0.027,0.003,superpc,0.006,0.007,0.007,0.007,0,svmLinear,0.069,0.103,0.093,0.09,0.01
kknn,0.021,0.031,0.027,0.026,0.003,pcaNNet,0.006,0.007,0.006,0.006,0,qrnn,0.059,0.486,0.274,0.297,0.114
rpart,0.021,0.032,0.028,0.028,0.002,leapSeq,0.007,0.008,0.008,0.008,0,rpart1SE,0.056,0.297,0.114,0.134,0.054
rpart1SE,0.024,0.032,0.029,0.029,0.002,glmboost,0.007,0.008,0.007,0.007,0,svmLinear3,0.05,0.08,0.07,0.069,0.009
nnet,0.019,0.033,0.026,0.026,0.003,penalized,0.007,0.008,0.007,0.007,0,superpc,0.03,0.047,0.038,0.038,0.004
rlm,0.021,0.033,0.029,0.029,0.003,lars,0.007,0.009,0.008,0.008,0,rpart2,0.025,0.292,0.11,0.112,0.05
svmLinear,0.021,0.033,0.028,0.028,0.003,lars2,0.007,0.009,0.008,0.008,0,partDSA,0.025,0.292,0.104,0.107,0.053
superpc,0.021,0.033,0.028,0.028,0.003,plsRglm,0.007,0.009,0.008,0.008,0,avNNet,0.022,0.466,0.31,0.307,0.096
qrnn,0.018,0.039,0.025,0.025,0.004,nnet,0.008,0.009,0.009,0.009,0,rpart,0.02,0.295,0.113,0.116,0.054
svmLinear3,0.038,0.061,0.041,0.043,0.005,svmLinear3,0.026,0.056,0.03,0.032,0.007,nnet,0.001,0.323,0.225,0.197,0.088
bagEarth,NA,NA,NA,NA,NA,bagEarth,NA,NA,NA,NA,NA,bagEarth,NA,NA,NA,NA,NA
glm.nb,NA,NA,NA,NA,NA,glm.nb,NA,NA,NA,NA,NA,glm.nb,NA,NA,NA,NA,NA
spls,NA,NA,NA,NA,NA,spls,NA,NA,NA,NA,NA,spls,NA,NA,NA,NA,NA
