Model,min,max,median,mean,sd,Model,min,max,median,mean,sd,Model,min,max,median,mean,sd
cubist,0.012,0.017,0.015,0.015,0.001,qrnn,0.001,0.002,0.002,0.002,0,avNNet,0.594,0.766,0.698,0.695,0.044
qrnn,0.013,0.019,0.016,0.016,0.001,cubist,0.002,0.002,0.002,0.002,0,pcaNNet,0.54,0.664,0.623,0.62,0.031
pcaNNet,0.014,0.019,0.016,0.016,0.001,rpart2,0.002,0.003,0.003,0.003,0,cubist,0.521,0.708,0.658,0.656,0.042
xgbTree,0.015,0.019,0.016,0.016,0.001,rpart1SE,0.002,0.003,0.003,0.003,0,xgbTree,0.519,0.664,0.58,0.584,0.044
knn,0.014,0.02,0.018,0.018,0.001,rlm,0.002,0.003,0.003,0.003,0,M5,0.473,0.676,0.578,0.566,0.059
M5,0.013,0.021,0.017,0.017,0.002,xgbTree,0.002,0.003,0.003,0.003,0,qrnn,0.428,0.723,0.629,0.614,0.072
rpart1SE,0.018,0.022,0.02,0.02,0.001,M5,0.002,0.003,0.003,0.003,0,knn,0.421,0.593,0.517,0.52,0.047
rpart2,0.017,0.023,0.02,0.02,0.001,kknn,0.002,0.003,0.003,0.003,0,nnet,0.381,0.492,0.439,0.44,0.024
rpart,0.017,0.023,0.021,0.02,0.002,knn,0.002,0.003,0.002,0.002,0,rpart1SE,0.33,0.569,0.411,0.415,0.059
nnet,0.017,0.023,0.02,0.02,0.002,avNNet,0.002,0.004,0.002,0.002,0,randomGLM,0.306,0.421,0.355,0.361,0.033
gamboost,0.018,0.023,0.02,0.02,0.001,svmLinear,0.003,0.004,0.004,0.004,0,kknn,0.3,0.533,0.393,0.397,0.059
randomGLM,0.018,0.023,0.02,0.02,0.001,rpart,0.003,0.004,0.004,0.004,0,gamboost,0.297,0.406,0.365,0.361,0.031
kknn,0.018,0.023,0.021,0.021,0.002,partDSA,0.004,0.004,0.004,0.004,0,rpart2,0.289,0.534,0.414,0.41,0.065
avNNet,0.012,0.025,0.017,0.017,0.003,pcaNNet,0.005,0.005,0.005,0.005,0,rpart,0.192,0.476,0.341,0.351,0.071
partDSA,0.019,0.025,0.021,0.022,0.002,gamboost,0.005,0.006,0.006,0.006,0,rlm,0.175,0.243,0.211,0.209,0.018
plsRglm,0.02,0.026,0.023,0.023,0.001,randomGLM,0.006,0.007,0.007,0.007,0,lars2,0.174,0.242,0.214,0.212,0.019
lars,0.02,0.026,0.022,0.022,0.001,penalized,0.007,0.008,0.008,0.008,0,lars,0.168,0.251,0.214,0.212,0.02
lars2,0.02,0.026,0.022,0.022,0.001,nnet,0.007,0.008,0.008,0.008,0,penalized,0.162,0.222,0.2,0.196,0.017
leapSeq,0.02,0.026,0.023,0.023,0.002,glmboost,0.007,0.008,0.007,0.007,0,plsRglm,0.161,0.227,0.199,0.198,0.017
penalized,0.02,0.026,0.023,0.023,0.002,superpc,0.008,0.008,0.008,0.008,0,svmLinear,0.159,0.22,0.197,0.194,0.017
glmboost,0.02,0.027,0.023,0.023,0.002,plsRglm,0.008,0.009,0.009,0.009,0,glmboost,0.14,0.195,0.18,0.174,0.016
superpc,0.021,0.028,0.024,0.024,0.002,lars,0.008,0.009,0.008,0.009,0,leapSeq,0.123,0.201,0.164,0.162,0.017
rlm,0.021,0.029,0.025,0.025,0.002,lars2,0.008,0.009,0.008,0.008,0,svmLinear3,0.101,0.162,0.132,0.132,0.017
svmLinear,0.021,0.029,0.025,0.025,0.002,leapSeq,0.008,0.009,0.008,0.008,0,partDSA,0.099,0.472,0.279,0.285,0.089
svmLinear3,0.037,0.041,0.039,0.039,0.001,svmLinear3,0.028,0.032,0.03,0.03,0.001,superpc,0.069,0.096,0.084,0.084,0.007
bagEarth,NA,NA,NA,NA,NA,bagEarth,NA,NA,NA,NA,NA,bagEarth,NA,NA,NA,NA,NA
glm.nb,NA,NA,NA,NA,NA,glm.nb,NA,NA,NA,NA,NA,glm.nb,NA,NA,NA,NA,NA
msaenet,NA,NA,NA,NA,NA,msaenet,NA,NA,NA,NA,NA,msaenet,NA,NA,NA,NA,NA
xgbLinear,NA,NA,NA,NA,NA,xgbLinear,NA,NA,NA,NA,NA,xgbLinear,NA,NA,NA,NA,NA
