Model,min,max,median,mean,sd,Model,min,max,median,mean,sd
QdaCov,0.553507920612549,0.553507920612549,0.553507920612549,NA,0,partDSA,0.595402298850575,0.595402298850575,0.595402298850575,NA,0
OneR,0.575662558003445,0.575662558003445,0.575662558003445,NA,0,OneR,0.601719197707736,0.601719197707736,0.601719197707736,NA,0
rmda,0.598899995054768,0.598899995054768,0.598899995054768,NA,0,ctree2,0.606728538283063,0.606728538283063,0.606728538283063,NA,0
dnn,0.605907285150294,0.605907285150294,0.605907285150294,NA,0,QdaCov,0.623207301173403,0.623207301173403,0.623207301173403,NA,0
PRIM,0.620642014687338,0.620642014687338,0.620642014687338,NA,0,C5.0Tree,0.635912698412698,0.635912698412698,0.635912698412698,NA,0
rpartCost,0.621648575361208,0.621648575361208,0.621648575361208,NA,0,PRIM,0.642034548944338,0.642034548944338,0.642034548944338,NA,0
stepQDA,0.626747315151365,0.626747315151365,0.626747315151365,NA,0,rmda,0.643604915794265,0.643604915794265,0.643604915794265,NA,0
C5.0Tree,0.628509053894782,0.628509053894782,0.628509053894782,NA,0,PART,0.645288603848051,0.645288603848051,0.645288603848051,NA,0
FRBCS.W,0.629702606137032,0.629702606137032,0.629702606137032,NA,0,ctree,0.645524296675192,0.645524296675192,0.645524296675192,NA,0
FRBCS.CHI,0.633490344435378,0.633490344435378,0.633490344435378,NA,0,C5.0Rules,0.647761194029851,0.647761194029851,0.647761194029851,NA,0
PART,0.635845510966051,0.635845510966051,0.635845510966051,NA,0,rocc,0.648397104446742,0.648397104446742,0.648397104446742,NA,0
JRip,0.638648323978604,0.638648323978604,0.638648323978604,NA,0,JRip,0.653696498054475,0.653696498054475,0.653696498054475,NA,0
C5.0Rules,0.641877663213247,0.641877663213247,0.641877663213247,NA,0,FRBCS.CHI,0.656816015252621,0.656816015252621,0.656816015252621,NA,0
stepLDA,0.643241207790388,0.643241207790388,0.643241207790388,NA,0,RSimca,0.661964735516373,0.661964735516373,0.661964735516373,NA,0
pam,0.649401626981183,0.649401626981183,0.649401626981183,NA,0,J48,0.663341645885287,0.663341645885287,0.663341645885287,NA,0
ctree,0.650931042866915,0.650931042866915,0.650931042866915,NA,0,evtree,0.663371230845279,0.663371230845279,0.663371230845279,NA,0
partDSA,0.650934133636641,0.650934133636641,0.650934133636641,NA,0,bstSm,0.664370078740158,0.664370078740158,0.664370078740158,NA,0
sdwd,0.651972117136052,0.651972117136052,0.651972117136052,NA,0,blackboost,0.665310274669379,0.665310274669379,0.665310274669379,NA,0
naive_bayes,0.654365403160003,0.654365403160003,0.654365403160003,NA,0,FRBCS.W,0.669107551487414,0.669107551487414,0.669107551487414,NA,0
bstSm,0.654517881133117,0.654517881133117,0.654517881133117,NA,0,rpart1SE,0.671829622458858,0.671829622458858,0.671829622458858,NA,0
evtree,0.655260180995475,0.655260180995475,0.655260180995475,NA,0,rfRules,0.673151750972763,0.673151750972763,0.673151750972763,NA,0
rpart1SE,0.655666102086063,0.655666102086063,0.655666102086063,NA,0,rFerns,0.673191952147906,0.673191952147906,0.673191952147906,NA,0
hda,0.657612256756423,0.657612256756423,0.657612256756423,NA,0,rpart,0.674179323860853,0.674179323860853,0.674179323860853,NA,0
rpart2,0.657920818600664,0.657920818600664,0.657920818600664,NA,0,rpartScore,0.674179323860853,0.674179323860853,0.674179323860853,NA,0
rocc,0.65808359913953,0.65808359913953,0.65808359913953,NA,0,stepQDA,0.675892857142857,0.675892857142857,0.675892857142857,NA,0
J48,0.658777476942858,0.658777476942858,0.658777476942858,NA,0,rpart2,0.675974963890226,0.675974963890226,0.675974963890226,NA,0
rfRules,0.658975286205277,0.658975286205277,0.658975286205277,NA,0,treebag,0.677322677322677,0.677322677322677,0.677322677322677,NA,0
slda,0.661275334009182,0.661275334009182,0.661275334009182,NA,0,pam,0.67761614265603,0.67761614265603,0.67761614265603,NA,0
RSimca,0.661330452735949,0.661330452735949,0.661330452735949,NA,0,lvq,0.677966101694915,0.677966101694915,0.677966101694915,NA,0
rpart,0.662922714272763,0.662922714272763,0.662922714272763,NA,0,naive_bayes,0.679584120982987,0.679584120982987,0.679584120982987,NA,0
rpartScore,0.662922714272763,0.662922714272763,0.662922714272763,NA,0,hdda,0.681329423264907,0.681329423264907,0.681329423264907,NA,0
ctree2,0.664562882740318,0.664562882740318,0.664562882740318,NA,0,CSimca,0.681362725450902,0.681362725450902,0.681362725450902,NA,0
blackboost,0.668430981051521,0.668430981051521,0.668430981051521,NA,0,stepLDA,0.682481751824818,0.682481751824818,0.682481751824818,NA,0
hdda,0.669398907103825,0.669398907103825,0.669398907103825,NA,0,bstTree,0.684003925417075,0.684003925417075,0.684003925417075,NA,0
Mlda,0.669444238393129,0.669444238393129,0.669444238393129,NA,0,Linda,0.684237202230106,0.684237202230106,0.684237202230106,NA,0
BstLm,0.671043196597681,0.671043196597681,0.671043196597681,NA,0,dnn,0.686258278145695,0.686258278145695,0.686258278145695,NA,0
knn,0.673297913112281,0.673297913112281,0.673297913112281,NA,0,LogitBoost,0.688317983519147,0.688317983519147,0.688317983519147,NA,0
lvq,0.673488510578675,0.673488510578675,0.673488510578675,NA,0,hda,0.691278264882326,0.691278264882326,0.691278264882326,NA,0
LogitBoost,0.673530235969966,0.673530235969966,0.673530235969966,NA,0,BstLm,0.692380952380952,0.692380952380952,0.692380952380952,NA,0
treebag,0.673592566492759,0.673592566492759,0.673592566492759,NA,0,sdwd,0.692934782608696,0.692934782608696,0.692934782608696,NA,0
bstTree,0.673672411377329,0.673672411377329,0.673672411377329,NA,0,LMT,0.694593278129567,0.694593278129567,0.694593278129567,NA,0
CSimca,0.678830390920555,0.678830390920555,0.678830390920555,NA,0,kknn,0.695049504950495,0.695049504950495,0.695049504950495,NA,0
LMT,0.681921160645847,0.681921160645847,0.681921160645847,NA,0,snn,0.695049504950495,0.695049504950495,0.695049504950495,NA,0
pda2,0.685601752260383,0.685601752260383,0.685601752260383,NA,0,knn,0.696352439602084,0.696352439602084,0.696352439602084,NA,0
Linda,0.686034975150211,0.686034975150211,0.686034975150211,NA,0,slda,0.700272479564033,0.700272479564033,0.700272479564033,NA,0
kknn,0.688369536549382,0.688369536549382,0.688369536549382,NA,0,rpartCost,0.701970443349754,0.701970443349754,0.701970443349754,NA,0
snn,0.688369536549382,0.688369536549382,0.688369536549382,NA,0,Mlda,0.704264099037139,0.704264099037139,0.704264099037139,NA,0
C5.0,0.694769490393888,0.694769490393888,0.694769490393888,NA,0,C5.0Cost,0.704352176088044,0.704352176088044,0.704352176088044,NA,0
gaussprRadial,0.698158519397671,0.698158519397671,0.698158519397671,NA,0,parRF,0.706981317600787,0.706981317600787,0.706981317600787,NA,0
parRF,0.698168821963422,0.698168821963422,0.698168821963422,NA,0,RRF,0.707110890104426,0.707110890104426,0.707110890104426,NA,0
ownn,0.699917167371362,0.699917167371362,0.699917167371362,NA,0,C5.0,0.709240445089502,0.709240445089502,0.709240445089502,NA,0
rFerns,0.700700677496724,0.700700677496724,0.700700677496724,NA,0,RRFglobal,0.710029791459782,0.710029791459782,0.710029791459782,NA,0
C5.0Cost,0.701620181489998,0.701620181489998,0.701620181489998,NA,0,cforest,0.712734452122409,0.712734452122409,0.712734452122409,NA,0
glmboost,0.702237820306769,0.702237820306769,0.702237820306769,NA,0,ranger,0.713582677165354,0.713582677165354,0.713582677165354,NA,0
RRF,0.702324361859077,0.702324361859077,0.702324361859077,NA,0,rf,0.713725490196078,0.713725490196078,0.713725490196078,NA,0
gamboost,0.702692163456387,0.702692163456387,0.702692163456387,NA,0,gaussprRadial,0.716674629718108,0.716674629718108,0.716674629718108,NA,0
rf,0.704110826760296,0.704110826760296,0.704110826760296,NA,0,ownn,0.716890595009597,0.716890595009597,0.716890595009597,NA,0
rotationForest,0.704724859679055,0.704724859679055,0.704724859679055,NA,0,gamboost,0.718072289156626,0.718072289156626,0.718072289156626,NA,0
RRFglobal,0.704787190201848,0.704787190201848,0.704787190201848,NA,0,pda2,0.719450800915332,0.719450800915332,0.719450800915332,NA,0
ranger,0.7053352866998,0.7053352866998,0.7053352866998,NA,0,rotationForestCp,0.719530102790015,0.719530102790015,0.719530102790015,NA,0
cforest,0.705491370570927,0.705491370570927,0.705491370570927,NA,0,rotationForest,0.72,0.72,0.72,NA,0
rotationForestCp,0.709622699437068,0.709622699437068,0.709622699437068,NA,0,gamLoess,0.723466407010711,0.723466407010711,0.723466407010711,NA,0
gamLoess,0.711877415951669,0.711877415951669,0.711877415951669,NA,0,glmboost,0.723484848484848,0.723484848484848,0.723484848484848,NA,0
gbm,0.712477540406663,0.712477540406663,0.712477540406663,NA,0,RFlda,0.726114649681529,0.726114649681529,0.726114649681529,NA,0
RFlda,0.716789164173446,0.716789164173446,0.716789164173446,NA,0,gbm,0.726570048309179,0.726570048309179,0.726570048309179,NA,0
svmRadialSigma,0.719449801778635,0.719449801778635,0.719449801778635,NA,0,svmRadialWeights,0.736231884057971,0.736231884057971,0.736231884057971,NA,0
svmRadial,0.720258038061799,0.720258038061799,0.720258038061799,NA,0,svmRadialSigma,0.736992840095465,0.736992840095465,0.736992840095465,NA,0
ordinalNet,0.720545994774539,0.720545994774539,0.720545994774539,NA,0,kernelpls,0.738549618320611,0.738549618320611,0.738549618320611,NA,0
svmRadialCost,0.720792226095987,0.720792226095987,0.720792226095987,NA,0,simpls,0.738549618320611,0.738549618320611,0.738549618320611,NA,0
kernelpls,0.720948309967114,0.720948309967114,0.720948309967114,NA,0,widekernelpls,0.738549618320611,0.738549618320611,0.738549618320611,NA,0
simpls,0.720948309967114,0.720948309967114,0.720948309967114,NA,0,svmRadial,0.738944365192582,0.738944365192582,0.738944365192582,NA,0
widekernelpls,0.720948309967114,0.720948309967114,0.720948309967114,NA,0,monmlp,0.739238000989609,0.739238000989609,0.739238000989609,NA,0
svmRadialWeights,0.722641021519999,0.722641021519999,0.722641021519999,NA,0,svmRadialCost,0.73929590865842,0.73929590865842,0.73929590865842,NA,0
gaussprPoly,0.725041519339976,0.725041519339976,0.725041519339976,NA,0,dwdRadial,0.741062801932367,0.741062801932367,0.741062801932367,NA,0
loclda,0.727476530755219,0.727476530755219,0.727476530755219,NA,0,ordinalNet,0.74331299859221,0.74331299859221,0.74331299859221,NA,0
dwdRadial,0.727722762076668,0.727722762076668,0.727722762076668,NA,0,loclda,0.74511672224869,0.74511672224869,0.74511672224869,NA,0
qda,0.728038535716935,0.728038535716935,0.728038535716935,NA,0,mlp,0.745967741935484,0.745967741935484,0.745967741935484,NA,0
monmlp,0.733571013525208,0.733571013525208,0.733571013525208,NA,0,mlpML,0.746165264720435,0.746165264720435,0.746165264720435,NA,0
plsRglm,0.738108263481938,0.738108263481938,0.738108263481938,NA,0,gaussprPoly,0.747891283973758,0.747891283973758,0.747891283973758,NA,0
mlpML,0.740685450304544,0.740685450304544,0.740685450304544,NA,0,qda,0.750936329588015,0.750936329588015,0.750936329588015,NA,0
svmLinear,0.74450461142843,0.74450461142843,0.74450461142843,NA,0,mlpWeightDecay,0.751479289940828,0.751479289940828,0.751479289940828,NA,0
mlpWeightDecay,0.745076918955897,0.745076918955897,0.745076918955897,NA,0,plsRglm,0.752522825564632,0.752522825564632,0.752522825564632,NA,0
mlp,0.74622153401083,0.74622153401083,0.74622153401083,NA,0,svmLinear2,0.752859273993038,0.752859273993038,0.752859273993038,NA,0
lssvmRadial,0.748934199573062,0.748934199573062,0.748934199573062,NA,0,svmLinearWeights,0.752859273993038,0.752859273993038,0.752859273993038,NA,0
svmLinear2,0.749076374980425,0.749076374980425,0.749076374980425,NA,0,svmLinear,0.754146341463415,0.754146341463415,0.754146341463415,NA,0
svmLinearWeights,0.749076374980425,0.749076374980425,0.749076374980425,NA,0,gaussprLinear,0.754940711462451,0.754940711462451,0.754940711462451,NA,0
gaussprLinear,0.749246367315316,0.749246367315316,0.749246367315316,NA,0,lssvmRadial,0.756385068762279,0.756385068762279,0.756385068762279,NA,0
mlpWeightDecayML,0.750224595933371,0.750224595933371,0.750224595933371,NA,0,msaenet,0.757091284167096,0.757091284167096,0.757091284167096,NA,0
sda,0.753769708808282,0.753769708808282,0.753769708808282,NA,0,mlpWeightDecayML,0.758924205378973,0.758924205378973,0.758924205378973,NA,0
svmPoly,0.755400089838373,0.755400089838373,0.755400089838373,NA,0,svmLinear3,0.763261296660118,0.763261296660118,0.763261296660118,NA,0
svmLinear3,0.756048636352397,0.756048636352397,0.756048636352397,NA,0,svmLinearWeights2,0.763261296660118,0.763261296660118,0.763261296660118,NA,0
svmLinearWeights2,0.756048636352397,0.756048636352397,0.756048636352397,NA,0,sda,0.765133171912833,0.765133171912833,0.765133171912833,NA,0
dwdPoly,0.759801861055477,0.759801861055477,0.759801861055477,NA,0,dwdPoly,0.7685546875,0.7685546875,0.7685546875,NA,0
bayesglm,0.763645233208878,0.763645233208878,0.763645233208878,NA,0,bayesglm,0.770741286205204,0.770741286205204,0.770741286205204,NA,0
msaenet,0.76416190688129,0.76416190688129,0.76416190688129,NA,0,svmPoly,0.771428571428571,0.771428571428571,0.771428571428571,NA,0
glmStepAIC,0.764519405912849,0.764519405912849,0.764519405912849,NA,0,randomGLM,0.774827925270403,0.774827925270403,0.774827925270403,NA,0
gamSpline,0.767998582366953,0.767998582366953,0.767998582366953,NA,0,glmStepAIC,0.774975751697381,0.774975751697381,0.774975751697381,NA,0
glm,0.767998582366953,0.767998582366953,0.767998582366953,NA,0,glmnet,0.776851397743992,0.776851397743992,0.776851397743992,NA,0
vglmAdjCat,0.767998582366953,0.767998582366953,0.767998582366953,NA,0,gamSpline,0.778692493946731,0.778692493946731,0.778692493946731,NA,0
randomGLM,0.768296841645443,0.768296841645443,0.768296841645443,NA,0,glm,0.778692493946731,0.778692493946731,0.778692493946731,NA,0
plr,0.769601146469517,0.769601146469517,0.769601146469517,NA,0,vglmAdjCat,0.778692493946731,0.778692493946731,0.778692493946731,NA,0
