Model,min,max,median,mean,sd,Model,min,max,median,mean,sd,Model,min,max,median,mean,sd
nnet,0.047,0.073,0.062,0.062,0.006,cubist,0.01,0.018,0.014,0.014,0.002,avNNet,0.477,0.688,0.558,0.567,0.05
avNNet,0.049,0.073,0.062,0.062,0.006,knn,0.01,0.018,0.014,0.014,0.002,nnet,0.475,0.689,0.549,0.566,0.051
mlp,0.042,0.074,0.061,0.061,0.008,M5,0.011,0.018,0.015,0.015,0.002,mlpML,0.464,0.705,0.581,0.582,0.06
ranger,0.049,0.074,0.062,0.062,0.006,ranger,0.012,0.018,0.015,0.015,0.002,mlp,0.464,0.701,0.577,0.578,0.065
mlpML,0.042,0.075,0.06,0.061,0.007,rlm,0.011,0.019,0.017,0.016,0.002,ranger,0.463,0.683,0.54,0.554,0.056
RRFglobal,0.049,0.075,0.063,0.063,0.006,kknn,0.011,0.019,0.015,0.015,0.002,mlpWeightDecay,0.442,0.7,0.567,0.572,0.067
Rborist,0.048,0.076,0.062,0.063,0.007,treebag,0.012,0.019,0.015,0.015,0.002,gamboost,0.44,0.661,0.505,0.522,0.054
bstSm,0.053,0.076,0.064,0.064,0.006,blackboost,0.012,0.019,0.016,0.015,0.002,bstSm,0.44,0.66,0.502,0.518,0.054
gamboost,0.053,0.076,0.064,0.064,0.006,Rborist,0.012,0.019,0.015,0.015,0.002,mlpWeightDecayML,0.434,0.696,0.576,0.576,0.068
mlpWeightDecayML,0.042,0.077,0.062,0.061,0.007,RRFglobal,0.012,0.019,0.015,0.015,0.002,pcaNNet,0.423,0.676,0.554,0.554,0.063
mlpWeightDecay,0.043,0.077,0.062,0.062,0.007,mlp,0.012,0.02,0.018,0.017,0.002,RRFglobal,0.423,0.655,0.52,0.537,0.066
pcaNNet,0.049,0.077,0.063,0.063,0.006,xgbLinear,0.012,0.02,0.016,0.016,0.002,Rborist,0.418,0.656,0.52,0.538,0.068
blackboost,0.049,0.078,0.064,0.064,0.007,gbm,0.012,0.02,0.015,0.015,0.002,gbm,0.413,0.684,0.514,0.519,0.076
bagEarth,0.054,0.078,0.066,0.067,0.007,bagEarth,0.013,0.02,0.017,0.017,0.002,bagEarth,0.392,0.627,0.465,0.479,0.062
cubist,0.049,0.08,0.062,0.062,0.007,earth,0.013,0.02,0.017,0.017,0.002,cubist,0.392,0.711,0.56,0.554,0.075
knn,0.052,0.08,0.065,0.065,0.007,mlpWeightDecay,0.013,0.02,0.017,0.017,0.002,gamLoess,0.386,0.657,0.494,0.497,0.059
