Model,Time1,Time2,Status
avNNet,383.265,6.38775,success
nnet,89.449,1.49081666666667,success
pcaNNet,113.96,1.89933333333333,success
bag,0.822999999999979,0.0137166666666663,error
bagEarth,2354.602,39.2433666666667,success
bagEarthGCV,857.843,14.2973833333333,success
earth,97.2069999999999,1.62011666666666,success
gcvEarth,43.4279999999999,0.723799999999998,success
bam,924.145,15.4024166666667,success
gam,903.910999999999,15.0651833333333,success
bartMachine,0.315999999999804,0.00526666666666339,error
bayesglm,9.64999999999964,0.160833333333327,success
glm,3.47400000000016,0.0579000000000027,success
lm,2.6899999999996,0.0448333333333267,success
blackboost,500.445000000001,8.34075000000001,success
ctree,33.902,0.565033333333334,success
ctree2,37.7559999999994,0.629266666666657,success
gamboost,42.7969999999996,0.713283333333326,success
glmboost,9.14899999999943,0.152483333333324,success
BstLm,42.3559999999998,0.705933333333329,success
bstSm,419.595,6.99325,success
bstTree,1459.139,24.3189833333333,success
spikeslab,21.9660000000003,0.366100000000006,success
blasso,971.746999999999,16.1957833333333,success
blassoAveraged,978.328,16.3054666666667,success
bridge,869.802,14.4967,success
lasso,6.75900000000001,0.11265,success
ridge,15.4569999999985,0.257616666666642,success
brnn,829.459000000001,13.8243166666667,success
cubist,817.320000000002,13.622,success
dnn,1784.689,29.7448166666667,success
enet,18.6579999999994,0.310966666666657,success
gamLoess,25.4790000000012,0.42465000000002,success
svmBoundrangeString,0.444000000001324,0.00740000000002207,error
svmExpoString,0.0319999999992433,0.000533333333320722,error
svmLinear,230.135,3.83558333333334,success
gbm,98.8470000000016,1.64745000000003,success
gbm_h2o,82.7569999999996,1.37928333333333,error
glmnet,7.54399999999987,0.125733333333331,success
glmnet_h2o,82.7150000000001,1.37858333333334,error
glm.nb,32.8040000000001,0.546733333333335,success
glmStepAIC,201.536,3.35893333333333,success
lmStepAIC,74.7709999999988,1.24618333333331,success
rlm,31.7309999999998,0.528849999999996,success
icr,14.7299999999996,0.245499999999993,success
kernelpls,2.69500000000153,0.0449166666666921,success
pcr,3.18499999999949,0.0530833333333248,success
simpls,2.73599999999897,0.0455999999999828,success
