fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,teamChemistry,playoffs
105.30625,343.10625,0.263159375,0,0,0,102.9875,334.2125,0.25313125,0.24551875,94.49375,131.378125,0,0,0,65.00625,0,0,0,100.63125,320.56875,272,TRUE
66.49130435,195.7565217,0.229643478,0,0,0,67.99130435,218.5217391,0.224747826,0.215617391,58.16956522,83.55652174,0,0,0,44.31304348,0,0,0,71.43043478,194.6043478,526,FALSE
96.73529412,273.6235294,0.312647059,0,0,0,98.57647059,295.2941176,0.303841176,0.288423529,79.29411765,114.1647059,0,0,0,72.07058824,0,0,0,88.68235294,284.8,292,FALSE
105.5307692,309.6923077,0.267738462,0,0,0,103.6769231,320.5307692,0.247784615,0.221253846,72.23846154,112.7038462,0,0,0,74.11538462,0,0,0,121.4615385,323.7230769,206,TRUE
104.4466667,294.9866667,0.313126667,0,0,0,105.92,315.5733333,0.306173333,0.29324,78.58666667,120.9333333,0,0,0,62.12,0,0,0,105.2866667,293.8533333,210,FALSE
107.53125,323.3375,0.291703125,0,0,0,106.9375,336.69375,0.279978125,0.26229375,92.1375,133.53125,0,0,0,72.3375,0,0,0,118.190625,312.446875,332,TRUE
118.5461538,300.3307692,0.2873,0,0,0,121.1384615,328.3692308,0.273653846,0.260753846,89.90769231,134.6461538,0,0,0,74.83846154,0,0,0,109.1115385,350.3076923,240,TRUE
111.1071429,275.6857143,0.353410714,0,0,0,114,314.9714286,0.341053571,0.329728571,75.11428571,110.1,0,0,0,73.44285714,0,0,0,101.8285714,324.1464286,314,TRUE
127.4076923,346.2307692,0.314161538,0,0,0,126.3384615,359.7153846,0.307715385,0.301315385,115.9846154,165.0615385,0,0,0,85.58461538,0,0,0,119.2576923,381.1076923,340,TRUE
76.6,238.3176471,0.251305882,0,0,0,71.8,243.0588235,0.233811765,0.219041176,59.72352941,89.35882353,0,0,0,46.68823529,0,0,0,81.65882353,231.7794118,334,TRUE
110.9230769,286.4384615,0.292596154,0,0,0,102.7538462,290.4615385,0.271234615,0.254069231,99.66923077,139.2115385,0,0,0,73.99230769,0,0,0,94.23461538,342.5346154,320,TRUE
89.58823529,239.5647059,0.304305882,0,0,0,91.75294118,266.9411765,0.2979,0.286047059,81.9,121.5294118,0,0,0,61.85882353,0,0,0,94.35882353,266.7117647,276,TRUE
99.04285714,269.0428571,0.298,0,0,0,102.0142857,308.1,0.287321429,0.270892857,86.42142857,130.8357143,0,0,0,67.86428571,0,0,0,101.8857143,296.4214286,188,FALSE
140.1545455,390.0909091,0.307054545,0,0,0,137.0181818,396.5818182,0.290427273,0.272663636,122.9363636,177.8454545,0,0,0,108.6,0,0,0,136.9590909,424.0409091,242,TRUE
66.58636364,197.3545455,0.299422727,0,0,0,67.06363636,207.4681818,0.286095455,0.267159091,64.58636364,95.5,0,0,0,49.41818182,0,0,0,82.74318182,210.4545455,540,TRUE
70.17142857,188.2142857,0.30517619,0,0,0,71.2,203.547619,0.297228571,0.28507619,57.56190476,83.92380952,0,0,0,51.13333333,0,0,0,77.7547619,205.7619048,430,FALSE
106.55,313.7428571,0.289628571,0,0,0,103.4142857,320.9714286,0.278028571,0.262078571,93.37142857,128.7607143,0,0,0,61.17142857,0,0,0,116.65,319.0285714,236,TRUE
71.37894737,198.8263158,0.289834211,0,0,0,71,211.7473684,0.274294737,0.254852632,53.97894737,79.26578947,0,0,113.1289474,44.85263158,0,0,0,75.43947368,223.6526316,404,FALSE
96.09411765,241.1352941,0.286808824,0,0,0,94.6,269.2235294,0.267723529,0.242711765,84.19411765,118.9294118,0,0,156.1970588,67.94705882,0,0,0,93.64705882,282.4588235,412,TRUE
