fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,playoffs
121.4375,390.875,0.2985,0,0,0,121.4375,390.875,0.2985,0.2985,106.4375,146.4375,0,0,0,77.5,0,0,0,112.875,349.3125,TRUE
74.43478261,239.826087,0.236521739,0,0,0,74.43478261,239.826087,0.236521739,0.236521739,67.34782609,92.30434783,0,0,0,51.69565217,0,0,0,77.91304348,216.2173913,FALSE
114.4117647,338.5882353,0.332411765,0,0,0,114.4117647,338.5882353,0.332411765,0.332411765,90,127.2352941,0,0,0,86.64705882,0,0,0,96.70588235,318.8235294,FALSE
154.0769231,453.2307692,0.322692308,0,0,0,154.0769231,453.2307692,0.322692308,0.322692308,103.5384615,148.7692308,0,0,0,105.0769231,0,0,0,152.0769231,411.6923077,TRUE
115.4,345.4666667,0.323,0,0,0,115.4,345.4666667,0.323,0.323,90.33333333,133.2666667,0,0,0,69.6,0,0,0,112.8,321.1333333,FALSE
117.375,368.8125,0.314875,0,0,0,117.375,368.8125,0.314875,0.314875,102.125,145.6875,0,0,0,85.25,0,0,0,129.0625,336.875,TRUE
152.4615385,406.3846154,0.331461538,0,0,0,152.4615385,406.3846154,0.331461538,0.331461538,117.6153846,165,0,0,0,103.2307692,0,0,0,128.9230769,422.5384615,TRUE
152.7857143,416.5714286,0.394785714,0,0,0,152.7857143,416.5714286,0.394785714,0.394785714,102.7857143,138.7857143,0,0,0,100.4285714,0,0,0,119.4285714,408.3571429,TRUE
145.3076923,411.6153846,0.337538462,0,0,0,145.3076923,411.6153846,0.337538462,0.337538462,131.5384615,184.9230769,0,0,0,100.6153846,0,0,0,132.1538462,422.1538462,TRUE
104.6470588,335.9411765,0.300352941,0,0,0,104.6470588,335.9411765,0.300352941,0.300352941,83.82352941,119.8235294,0,0,0,67.17647059,0,0,0,104,293.1176471,TRUE
150.4615385,403.6153846,0.362846154,0,0,0,150.4615385,403.6153846,0.362846154,0.362846154,130,178.3846154,0,0,0,106.3846154,0,0,0,121.9230769,430.9230769,TRUE
101.5882353,295.4117647,0.313588235,0,0,0,101.5882353,295.4117647,0.313588235,0.313588235,97.29411765,137.5294118,0,0,0,75.23529412,0,0,0,103.8823529,300.4705882,TRUE
124.3571429,363.2857143,0.316071429,0,0,0,124.3571429,363.2857143,0.316071429,0.316071429,109.1428571,153.5,0,0,0,91.78571429,0,0,0,114,357.8571429,FALSE
169.9090909,479.6363636,0.351909091,0,0,0,169.9090909,479.6363636,0.351909091,0.351909091,153.7272727,217.8181818,0,0,0,133.9090909,0,0,0,166.6363636,493.5454545,TRUE
82.63636364,250.6818182,0.331227273,0,0,0,82.63636364,250.6818182,0.331227273,0.331227273,76.22727273,109.4545455,0,0,0,60.45454545,0,0,0,93.5,241.5,TRUE
83.14285714,233.5238095,0.320238095,0,0,0,83.14285714,233.5238095,0.320238095,0.320238095,68.04761905,95.33333333,0,0,0,63.04761905,0,0,0,84.76190476,234.3333333,FALSE
129.5,392.3571429,0.319857143,0,0,0,129.5,392.3571429,0.319857143,0.319857143,112.5,150.6428571,0,0,0,75.5,0,0,0,131.2142857,371.5,TRUE
102.8947368,291.6842105,0.332684211,0,0,0,102.8947368,291.6842105,0.332684211,0.332684211,79.15789474,106.3157895,0,0,154.6315789,70.78947368,0,0,0,91.31578947,284.9473684,FALSE
121.4705882,329.8235294,0.333941176,0,0,0,121.4705882,329.8235294,0.333941176,0.333941176,103,142.0588235,0,0,194.5294118,92.88235294,0,0,0,110.6470588,345.9411765,TRUE
133.4666667,395.1333333,0.321466667,0,0,0,133.4666667,395.1333333,0.321466667,0.321466667,114.5333333,159.1333333,0,0,215.3333333,76.13333333,0,0,0,130.7333333,381.4666667,TRUE
139.7333333,385.2666667,0.317066667,0,0,0,139.7333333,385.2666667,0.317066667,0.317066667,90.86666667,126.8666667,0,0,179.3333333,97,0,0,0,104.7333333,370.3333333,TRUE
189.4545455,508.1818182,0.335272727,0,0,0,189.4545455,508.1818182,0.335272727,0.335272727,133.0909091,180.8181818,0,0,298.5454545,128,0,0,0,163.7272727,512,TRUE
156.6923077,413.8461538,0.345615385,0,0,0,156.6923077,413.8461538,0.345615385,0.345615385,122.4615385,171.6153846,0,0,241.3076923,119.3076923,0,0,0,139.2307692,435.8461538,TRUE
165.4166667,471.9166667,0.34775,0,0,0,165.4166667,471.9166667,0.34775,0.34775,138.6666667,181.75,0,0,277.5,119.25,0,0,0,142.4166667,469.5,TRUE
184.7272727,488.8181818,0.355272727,0,0,0,184.7272727,488.8181818,0.355272727,0.355272727,153.8181818,204.3636364,0,0,263.5454545,124.1818182,0,0,0,139.4545455,523.2727273,TRUE
134.5714286,383.2142857,0.332857143,0,0,0,134.5714286,383.2142857,0.332857143,0.332857143,136.5714286,188.1428571,0,0,223.6428571,106.6428571,0,0,0,142.5,405.7142857,TRUE
99.4,302.05,0.3186,0,0,0,99.4,302.05,0.3186,0.3186,87.7,121.3,0,0,170.05,73.8,0,0,0,104.6,286.5,FALSE
56.76470588,170.1764706,0.324235294,0,0,0,56.76470588,170.1764706,0.324235294,0.324235294,53.76470588,70.23529412,0,0,87.82352941,34.35294118,0,0,0,61.76470588,167.2941176,FALSE
125.4666667,366.3333333,0.3362,0,0,0,125.4666667,366.3333333,0.3362,0.3362,107.6,147.4,0,0,215.0666667,94.46666667,0,0,0,114.3333333,358.5333333,FALSE
213.1,551,0.378,0,0,0,213.1,551,0.378,0.378,176.5,240.6,0,0,332.8,160.6,0,0,0,173.4,602.7,TRUE
136.2307692,385.4615385,0.319076923,0,0,0,136.2307692,385.4615385,0.319076923,0.319076923,123.7692308,168.7692308,0,0,234.8461538,107.9230769,0,0,0,134.6923077,396.2307692,TRUE
