Model,min,max,median,mean,sd,Model,min,max,median,mean,sd
sdwd,0.5,0.5,0.5,NA,0,dnn,0.434554349123016,0.434554349123016,0.434554349123016,NA,0
rmda,0.543178174295319,0.543178174295319,0.543178174295319,NA,0,FRBCS.W,0.463709195264857,0.463709195264857,0.463709195264857,NA,0
dnn,0.570226743776007,0.570226743776007,0.570226743776007,NA,0,partDSA,0.480457356201143,0.480457356201143,0.480457356201143,NA,0
OneR,0.573360309847897,0.573360309847897,0.573360309847897,NA,0,RSimca,0.486316616472437,0.486316616472437,0.486316616472437,NA,0
FRBCS.W,0.591972753132567,0.591972753132567,0.591972753132567,NA,0,rocc,0.486461251167134,0.486461251167134,0.486461251167134,NA,0
partDSA,0.596943014316948,0.596943014316948,0.596943014316948,NA,0,OneR,0.50695424309615,0.50695424309615,0.50695424309615,NA,0
rocc,0.601488586407128,0.601488586407128,0.601488586407128,NA,0,stepLDA,0.517555266579974,0.517555266579974,0.517555266579974,NA,0
hda,0.603538625196887,0.603538625196887,0.603538625196887,NA,0,rmda,0.531454107940873,0.531454107940873,0.531454107940873,NA,0
pam,0.603716411594612,0.603716411594612,0.603716411594612,NA,0,bstSm,0.535399788657978,0.535399788657978,0.535399788657978,NA,0
stepLDA,0.603999106660084,0.603999106660084,0.603999106660084,NA,0,stepQDA,0.535935368796559,0.535935368796559,0.535935368796559,NA,0
stepQDA,0.609718068975245,0.609718068975245,0.609718068975245,NA,0,slda,0.5520878174774,0.5520878174774,0.5520878174774,NA,0
naive_bayes,0.619614100665303,0.619614100665303,0.619614100665303,NA,0,pam,0.553912028026469,0.553912028026469,0.553912028026469,NA,0
FRBCS.CHI,0.621104920422221,0.621104920422221,0.621104920422221,NA,0,Mlda,0.563510890662066,0.563510890662066,0.563510890662066,NA,0
slda,0.629724181300985,0.629724181300985,0.629724181300985,NA,0,hda,0.568376068376068,0.568376068376068,0.568376068376068,NA,0
RSimca,0.63280873122223,0.63280873122223,0.63280873122223,NA,0,snn,0.568788732394366,0.568788732394366,0.568788732394366,NA,0
xyf,0.634542631626346,0.634542631626346,0.634542631626346,NA,0,lvq,0.574097397145256,0.574097397145256,0.574097397145256,NA,0
kknn,0.63646213884383,0.63646213884383,0.63646213884383,NA,0,xyf,0.574316416640068,0.574316416640068,0.574316416640068,NA,0
bstSm,0.63920768977596,0.63920768977596,0.63920768977596,NA,0,CSimca,0.575146838650236,0.575146838650236,0.575146838650236,NA,0
Mlda,0.639378952441404,0.639378952441404,0.639378952441404,NA,0,FRBCS.CHI,0.575734157650696,0.575734157650696,0.575734157650696,NA,0
lvq,0.641209829089969,0.641209829089969,0.641209829089969,NA,0,naive_bayes,0.575900144023044,0.575900144023044,0.575900144023044,NA,0
C5.0Tree,0.649229670639678,0.649229670639678,0.649229670639678,NA,0,kknn,0.582197273456295,0.582197273456295,0.582197273456295,NA,0
PART,0.651453851940663,0.651453851940663,0.651453851940663,NA,0,QdaCov,0.591267161827594,0.591267161827594,0.591267161827594,NA,0
J48,0.651568810682465,0.651568810682465,0.651568810682465,NA,0,J48,0.602402462027201,0.602402462027201,0.602402462027201,NA,0
BstLm,0.651865669887392,0.651865669887392,0.651865669887392,NA,0,C5.0Tree,0.603891659333138,0.603891659333138,0.603891659333138,NA,0
ctree2,0.653718174765498,0.653718174765498,0.653718174765498,NA,0,PART,0.604838709677419,0.604838709677419,0.604838709677419,NA,0
snn,0.654233079436726,0.654233079436726,0.654233079436726,NA,0,pda2,0.611530467126135,0.611530467126135,0.611530467126135,NA,0
