Model,min,max,median,mean,sd,Model,min,max,median,mean,sd
QdaCov,0.540527718022896,0.540527718022896,0.540527718022896,NA,0,OneR,0.595785440613027,0.595785440613027,0.595785440613027,NA,0
OneR,0.570736901317904,0.570736901317904,0.570736901317904,NA,0,rmda,0.6,0.6,0.6,NA,0
dnn,0.601047564885559,0.601047564885559,0.601047564885559,NA,0,partDSA,0.600790513833992,0.600790513833992,0.600790513833992,NA,0
PRIM,0.608223817059401,0.608223817059401,0.608223817059401,NA,0,QdaCov,0.602751886373724,0.602751886373724,0.602751886373724,NA,0
FRBCS.W,0.617312225436623,0.617312225436623,0.617312225436623,NA,0,ctree2,0.606728538283063,0.606728538283063,0.606728538283063,NA,0
FRBCS.CHI,0.617412675452695,0.617412675452695,0.617412675452695,NA,0,PRIM,0.62807525325615,0.62807525325615,0.62807525325615,NA,0
rpartCost,0.617985498108449,0.617985498108449,0.617985498108449,NA,0,ctree,0.642305712815234,0.642305712815234,0.642305712815234,NA,0
rmda,0.623538011695906,0.623538011695906,0.623538011695906,NA,0,C5.0Tree,0.647749510763209,0.647749510763209,0.647749510763209,NA,0
stepQDA,0.630656623725573,0.630656623725573,0.630656623725573,NA,0,FRBCS.CHI,0.647887323943662,0.647887323943662,0.647887323943662,NA,0
C5.0Tree,0.634895099275524,0.634895099275524,0.634895099275524,NA,0,rocc,0.648397104446742,0.648397104446742,0.648397104446742,NA,0
PART,0.639342201781932,0.639342201781932,0.639342201781932,NA,0,JRip,0.650325162581291,0.650325162581291,0.650325162581291,NA,0
slda,0.642811075670285,0.642811075670285,0.642811075670285,NA,0,snn,0.652610441767068,0.652610441767068,0.652610441767068,NA,0
J48,0.64426425256946,0.64426425256946,0.64426425256946,NA,0,CSimca,0.653826659908768,0.653826659908768,0.653826659908768,NA,0
stepLDA,0.644361611815807,0.644361611815807,0.644361611815807,NA,0,kknn,0.655017473789316,0.655017473789316,0.655017473789316,NA,0
sdwd,0.646044020802941,0.646044020802941,0.646044020802941,NA,0,bstSm,0.656126482213439,0.656126482213439,0.656126482213439,NA,0
RSimca,0.646140864921,0.646140864921,0.646140864921,NA,0,C5.0Rules,0.658153241650295,0.658153241650295,0.658153241650295,NA,0
JRip,0.646737383477981,0.646737383477981,0.646737383477981,NA,0,J48,0.658880778588808,0.658880778588808,0.658880778588808,NA,0
C5.0Rules,0.647299388439697,0.647299388439697,0.647299388439697,NA,0,RSimca,0.661814653081029,0.661814653081029,0.661814653081029,NA,0
bstSm,0.647611556181952,0.647611556181952,0.647611556181952,NA,0,FRBCS.W,0.662748643761302,0.662748643761302,0.662748643761302,NA,0
partDSA,0.648603178135483,0.648603178135483,0.648603178135483,NA,0,rFerns,0.66523835029459,0.66523835029459,0.66523835029459,NA,0
rpart1SE,0.649217726182528,0.649217726182528,0.649217726182528,NA,0,blackboost,0.665645737621235,0.665645737621235,0.665645737621235,NA,0
pam,0.649231634646292,0.649231634646292,0.649231634646292,NA,0,evtree,0.667309546769527,0.667309546769527,0.667309546769527,NA,0
evtree,0.649359901589892,0.649359901589892,0.649359901589892,NA,0,PART,0.667606958157029,0.667606958157029,0.667606958157029,NA,0
hda,0.650081596320748,0.650081596320748,0.650081596320748,NA,0,lvq,0.67156862745098,0.67156862745098,0.67156862745098,NA,0
ctree,0.650226862497836,0.650226862497836,0.650226862497836,NA,0,rpart1SE,0.67174845164364,0.67174845164364,0.67174845164364,NA,0
snn,0.650476699717298,0.650476699717298,0.650476699717298,NA,0,rpart2,0.674081237911025,0.674081237911025,0.674081237911025,NA,0
kknn,0.650698720009231,0.650698720009231,0.650698720009231,NA,0,pam,0.675165250236072,0.675165250236072,0.675165250236072,NA,0
naive_bayes,0.653453110962754,0.653453110962754,0.653453110962754,NA,0,LMT,0.676862358164776,0.676862358164776,0.676862358164776,NA,0
CSimca,0.655544531810202,0.655544531810202,0.655544531810202,NA,0,naive_bayes,0.678030303030303,0.678030303030303,0.678030303030303,NA,0
